Ch,Source,Detector,roi
1,1,1,7
2,1,16,0
3,2,1,7
4,2,17,0
5,3,1,7
6,3,2,7
7,4,1,7
8,4,2,7
9,5,1,7
10,5,2,7
11,5,3,nan
12,6,3,1
13,6,4,1
14,6,18,0
15,7,3,nan
16,7,5,2
17,7,6,2
18,8,3,1
19,8,4,1
20,8,5,2
21,8,6,2
22,8,7,2
23,8,19,0
24,9,5,2
25,9,6,2
26,9,7,2
27,9,13,nan
28,10,8,3
29,10,9,3
30,10,20,0
31,11,8,3
32,11,9,3
33,11,10,4
34,11,11,4
35,11,12,4
36,11,21,0
37,12,8,nan
38,12,10,4
39,12,11,4
40,13,10,4
41,13,11,4
42,13,12,4
43,13,15,nan
44,14,13,5
45,14,14,5
46,14,15,5
47,15,13,6
48,15,14,6
49,15,22,0
50,16,14,6
51,16,15,6
52,16,23,0
